OBJECTID,AddressPtID,StreetName,AddressNumber,Fractional,Unit,Building,SubAddressFlag,RouteExternalKey,ZipCode,City,State,X,Y,Address,FullNumber,UnitID,created_user,created_date,last_edited_user,last_edited_date,County,StateAbbr,ADD_TYPE
567983,54076673.0,SEA ISLAND DR,70,,,,,,92660,NEWPORT BEACH,California,-117.8749538,33.6305519,70 SEA ISLAND DR    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
994741,91118225.0,FALLS WAY,5335,,H,,UNIT,,90621,BUENA PARK,California,-117.99444584,33.88173614,5335 FALLS WAY  UNIT  H,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
137571,74120525.0,E 20TH ST,519,,,,,,92706,SANTA ANA,California,-117.86178939,33.76261313,519 E 20TH ST    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
887585,87118698.0,INVERARY,13,,,,,,92679,RANCHO SANTA MARGARITA,California,-117.57272242,33.63253692,13 INVERARY    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
532449,54041113.0,PARK NEWPORT,4000,,402,,APT,,92660,NEWPORT BEACH,California,-117.88152556,33.62613288,4000 PARK NEWPORT  APT  402,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
330038,91644981.0,MOULTON PKWY,26035,,217,N,APT,,92653,LAGUNA HILLS,California,-117.70977783,33.58328302,26035 MOULTON PKWY  APT N 217,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
933980,34017196.0,N RUSSELL ST,921,,,,,,90631,LA HABRA,California,-117.96131135,33.94092828,921 N RUSSELL ST    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
61887,91118762.0,N PLACENTIA AVE,1856,,,,,1178791.0,92870,PLACENTIA,California,-117.87050528,33.89530668,1856 N PLACENTIA AVE    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
1093725,20028354.0,BALL RD,5117,,,,,,90630,CYPRESS,California,-118.0439924,33.81734001,5117 BALL RD    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
829072,74072236.0,DRYDEN LN,14121,,,,,,92705,North Tustin,California,-117.8039323,33.75788757,14121 DRYDEN LN    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
814586,68018760.0,GREENVALE,5,,,,,,92688,Las Flores,California,-117.62278278,33.59755911,5 GREENVALE    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
273110,18039148.0,GROVE PL,1015,,,,,,92627,COSTA MESA,California,-117.94178823,33.64838453,1015 GROVE PL    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
571105,32072487.0,CARVER,5,,,,,,92620,IRVINE,California,-117.76713371,33.70156117,5 CARVER    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
108405,92876693.0,LEGACY RD,16003,,204,,,1183107.0,92782,TUSTIN,California,-117.8272141,33.70217224,16003 LEGACY RD    204,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
169500,91416428.0,NEWPORT AVE,14300,,89,,UNIT,,92780,TUSTIN,California,-117.82444964,33.73325121,14300 NEWPORT AVE  UNIT  89,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
159939,74082941.0,W ADAMS ST,2221,,,,,,92704,SANTA ANA,California,-117.8985474,33.71227685,2221 W ADAMS ST    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
580913,32192785.0,STREAMWOOD,88,,,,,,92620,IRVINE,California,-117.75733534,33.71321597,88 STREAMWOOD    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
911755,34003987.0,S OAKLAND DR,391,,,,,,90631,LA HABRA,California,-117.97506977,33.92913889,391 S OAKLAND DR    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
551077,54008504.0,ONYX AVE,112,,,,,,92662,NEWPORT BEACH,California,-117.89041746,33.60498686,112 ONYX AVE    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
536477,28066749.0,SAINT MARK ST,12262,,,,,,92845,GARDEN GROVE,California,-118.02991389,33.78430559,12262 SAINT MARK ST    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
137594,74120783.0,N SHERRY LN,1919,,63,,APT,,92705,SANTA ANA,California,-117.84123636,33.76342741,1919 N SHERRY LN  APT  63,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
987773,16000068.0,ACADEMY DR,8833,,20,,APT,,90621,BUENA PARK,California,-117.97969648,33.86121284,8833 ACADEMY DR  APT  20,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
